commonName,scientificName
acanthis/spinus sp.,acanthis/spinus
accipiter sp.,accipiter
American Barn Owl,Tyto furcata
American Bittern,Botaurus lentiginosus
American Black Duck,Anas rubripes
American Black Duck x Mallard hybrid,anas
American Coot,Fulica americana
American Crow,Corvus brachyrhynchos
American Goldfinch,Carduelis tristis
American Goshawk,Accipiter gentilis
American Kestrel,Falco sparverius
American Pipit,Anthus rubescens
American Robin,Turdus migratorius
American Three-toed Woodpecker,Picoides dorsalis
American Tree Sparrow,Spizella arborea
American White Pelican,Pelecanus erythrorhynchos
American Wigeon,Anas americana
Anna's Hummingbird,Calypte anna
asio sp.,asio sp.
Bald Eagle,Haliaeetus leucocephalus
Baltimore Oriole,Icterus galbula
Band-tailed Pigeon,Columba fasciata
Barred Owl,Strix varia
Barrow's Goldeneye,Bucephala islandica
Belted Kingfisher,Ceryle alcyon
bird sp.,bird
Black Scoter,Melanitta nigra
Black-backed Woodpecker,Picoides arcticus
Black-billed Magpie,Pica pica
Black-capped Chickadee,Poecile atricapillus
Black-crowned Night Heron,Nycticorax nycticorax
Black-headed Grosbeak,Pheucticus melanocephalus
Black-legged Kittiwake,Rissa tridactyla
blackbird sp.,blackbird
Blue Jay,Cyanocitta cristata
Blue-winged Teal,Anas discors
bluebird sp,sialia
Bohemian Waxwing,Bombycilla garrulus
Boreal Chickadee,Poecile hudsonicus
Boreal Owl,Aegolius funereus
Brambling,Fringilla montifringilla
Brewer's Blackbird,Euphagus cyanocephalus
Broad-winged Hawk,Buteo platypterus
Brown Creeper,Certhia americana
Brown Thrasher,Toxostoma rufum
Brown-headed Cowbird,Molothrus ater
Bufflehead,Bucephala albeola
buteo sp.,buteo
Cackling Goose,Branta hutchinsii
Cackling/Canada Goose,Branta
California Gull,Larus californicus
Canada Goose,Branta canadensis
Canada Jay,Perisoreus canadensis
Canvasback,Aythya valisineria
Cape May Warbler,Dendroica tigrina
Carolina Wren,Thryothorus ludovicianus
catharus sp.,catharus
Cedar Waxwing,Bombycilla cedrorum
chen sp.,chen
Chipping Sparrow,Spizella passerina
Clark's Nutcracker,Nucifraga columbiana
Clay-colored Sparrow,Spizella pallida
Common Eider,Somateria mollissima
Common Goldeneye,Bucephala clangula
Common Goldeneye x Hooded Merganser hybrid,hybrid
Common Grackle,Quiscalus quiscula
Common Loon,Gavia immer
Common Merganser,Mergus merganser
Common Raven,Corvus corax
Common Yellowthroat,Geothlypis trichas
Cooper's Hawk,Accipiter cooperii
corvid sp.,corvid
"corvus sp.""","Pine Warbler"""
crossbill sp.,loxia
Curve-billed Thrasher,Toxostoma curvirostre
dark headed gull sp.,larus
Dark-eyed Junco,Junco hyemalis
Dark-eyed Junco (cismontanus),Junco hyemalis cismontanus
Dark-eyed Junco (Gray-headed),junco
Dark-eyed Junco (Oregon),junco
